"genus","species","taxon"
"Cothurnia","Cothurnia recurva","Ciliophora"
"Cothurnia","Cothurnia simplex","Ciliophora"
"Coxliella","Coxliella helix","Ciliophora"
"Coxliella","Coxliella helix f. cochleata","Ciliophora"
"Craspedomyoschiston","Craspedomyoschiston sphaeromae","Ciliophora"
"Cristigera","Cristigera cirrifera","Ciliophora"
"Cristigera","Cristigera vestita","Ciliophora"
"Cristigera","Cristigera media","Ciliophora"
"Cristigera","Cristigera minuta","Ciliophora"
"Cristigera","Cristigera penardi","Ciliophora"
"Cristigera","Cristigera pleuronemoides","Ciliophora"
"Cristigera","Cristigera phoenix","Ciliophora"
"Cristigera","Cristigera setosa","Ciliophora"
"Cristigera","Cristigera sulcata","Ciliophora"
"Cryptopharynx","Cryptopharynx sp","Ciliophora"
"Cryptopharynx","Cryptopharynx setigerus","Ciliophora"
"Ctedoctema","Ctedoctema acanthocryptum","Ciliophora"
"Ctedoctema","Ctedoctema acanthocrypta","Ciliophora"
"Cyclidium","Cyclidium sp","Ciliophora"
"Cyclidium","Cyclidium candens","Ciliophora"
"Cyclidium","Cyclidium citrullus","Ciliophora"
"Cyclidium","Cyclidium elongatum","Ciliophora"
"Cyclidium","Cyclidium glaucoma f. elongatum","Ciliophora"
"Cyclidium","Cyclidium flagellatum","Ciliophora"
"Cyclidium","Cyclidium fuscum","Ciliophora"
"Cyclidium","Cyclidium glaucoma","Ciliophora"
"Cyclidium","Cyclidium plouneouri","Ciliophora"
"Cyclidium","Cyclidium simulans","Ciliophora"
"Cyclidium","Cyclidium veliferum","Ciliophora"
"Cyclidium","Cyclidium xenium","Ciliophora"
"Cyclotrichium","Cyclotrichium cyclokaryon","Ciliophora"
"Cyclotrichium","Cyclotrichium ovatum","Ciliophora"
"Cyrtolophosis","Cyrtolophosis mucicola","Ciliophora"
"Balantiophorus","Balantiophorus minutus","Ciliophora"
"Dexiostoma","Dexiostoma campylum","Ciliophora"
"Colpidium","Colpidium campylum","Ciliophora"
"Dexiostoma","Dexiostoma campyla","Ciliophora"
"Cryptochilum","Cryptochilum griseolum f. marium","Ciliophora"
"Glaucoma","Glaucoma colpidium","Ciliophora"
"Tillina","Tillina campyla","Ciliophora"
"Dictyocysta","Dictyocysta elegans","Ciliophora"
"Didinium","Didinium sp","Ciliophora"
"Didinium","Didinium balbiani f. rostratum","Ciliophora"
"Didinium","Didinium nasutum f. rostratum","Ciliophora"
"Didinium","Didinium gargantua","Ciliophora"
"Didinium","Didinium nasutum","Ciliophora"
"Chytridium","Chytridium steini","Ciliophora"
"Vorticella","Vorticella nasuta","Ciliophora"
"Dileptus","Dileptus sp","Ciliophora"
"Dileptus","Dileptus anser","Ciliophora"
"Amphileptus","Amphileptus anser","Ciliophora"
"Amphileptus","Amphileptus cygnus","Ciliophora"
"Amphileptus","Amphileptus margaritifer","Ciliophora"
"Dileptus","Dileptus gigas f. grojecensis","Ciliophora"
"Dileptus","Dileptus gigas f. varsaviensis","Ciliophora"
"Dileptus","Dileptus irregularis","Ciliophora"
"Vibrio","Vibrio anser","Ciliophora"
"Dileptus","Dileptus cygnus","Ciliophora"
"Dileptus","Dileptus estuarinus","Ciliophora"
"Dileptus","Dileptus  marinus","Ciliophora"
"Dileptus","Dileptus massutii","Ciliophora"
"Diophryopsis","Diophryopsis hystrix","Ciliophora"
"Diophrys","Diophrys hystrix","Ciliophora"
"Diophrys","Diophrys sp","Ciliophora"
"Diophrys","Diophrys appendiculata","Ciliophora"
"Diophrys","Diophrys hystrix","Ciliophora"
"Diophrys","Diophrys multicirratus","Ciliophora"
"Diophrys","Diophrys pentacirratus","Ciliophora"
"Stylonychia","Stylonychia appendiculata","Ciliophora"
"Diophrys","Diophrys scutum","Ciliophora"
"Diophrys","Diophrys peloetes","Ciliophora"
"Diophrys","Diophrys quadricaudatus","Ciliophora"
"Diophrys","Diophrys scutoides","Ciliophora"
"Discocephalus","Discocephalus ehrenbergi","Ciliophora"
"Discocephalus","Discocephalus rotatorius","Ciliophora"
"Discotricha","Discotricha papillifera","Ciliophora"
"Disematostoma","Disematostoma butschlii","Ciliophora"
"Leucophrys","Leucophrys ovum","Ciliophora"
"Dysteria","Dysteria calkinsi","Ciliophora"
"Dysteria","Dysteria lanceolata","Ciliophora"
"Dysteria","Dysteria marioni","Ciliophora"
"Dysteria","Dysteria monostyla","Ciliophora"
"Dysteria","Dysteria navicula","Ciliophora"
"Dysteria","Dysteria ovalis","Ciliophora"
"Aegyria","Aegyria angustata f. ovalis","Ciliophora"
"Dysteria","Dysteria procera","Ciliophora"
"Dysteria","Dysteria pusilla","Ciliophora"
"Dysteria","Dysteria sulcata","Ciliophora"
"Trochilia","Trochilia sulcata","Ciliophora"
"Enchelyodon","Enchelyodon elegans","Ciliophora"
"Spathidium","Spathidium elegans","Ciliophora"
"Enchelyodon","Enchelyodon elongatus","Ciliophora"
"Enchelyodon","Enchelyodon fascinucleatus","Ciliophora"
"Enchelyodon","Enchelyodon laevis","Ciliophora"
"Enchelyodon","Enchelyodon sulcatus","Ciliophora"
"Enchelyodon","Enchelyodon trepida","Ciliophora"
"Trachelocerca","Trachelocerca trepida","Ciliophora"
"Pseudotrachelocerca","Pseudotrachelocerca trepida","Ciliophora"
"Enchelys","Enchelys marina","Ciliophora"
"Enchelys","Enchelys pectinata","Ciliophora"
"Enchelys","Enchelys tarda","Ciliophora"
"Epaxiella","Epaxiella sp","Ciliophora"
"Ephelota","Ephelota gemmipara","Ciliophora"
"Epiclintes","Epiclintes ambiguus","Ciliophora"
"Epiclintes","Epiclintes auricularis","Ciliophora"
"Epiclintes","Epiclintes felis","Ciliophora"
"Epimecophrya","Epimecophrya ambiguus","Ciliophora"
"Epimecophrya","Epimecophrya cylindrica","Ciliophora"
"Epistylis","Epistylis sp","Ciliophora"
"Epistylis","Epistylis arenicolae","Ciliophora"
"Rhabdostyla","Rhabdostyla arenicolae","Ciliophora"
"Epistylis","Epistylis caliciformis","Ciliophora"
"Epistylis","Epistylis carcini","Ciliophora"
"Epistylis","Epistylis gammari","Ciliophora"
"Epistylis","Epistylis harpacticola","Ciliophora"
"Epistylis","Epistylis hentscheli","Ciliophora"
"Epistylis","Epistylis nitocrae","Ciliophora"
"Epistylis","Epistylis plicatilis","Ciliophora"
"Epistylis","Epistylis rotans","Ciliophora"
"Eucamptocerca","Eucamptocerca longa","Ciliophora"
"Euplotes","Euplotes sp","Ciliophora"
"Euplotes","Euplotes affinis","Ciliophora"
"Euplotes","Euplotes affinis f. tricirrata","Ciliophora"
"Ploesconia","Ploesconia affinis","Ciliophora"
"Euplotes","Euplotes balteatus","Ciliophora"
"Euplotes","Euplotes quinquecarinatus","Ciliophora"
"Euplotes","Euplotes alatus","Ciliophora"
"Euplotes","Euplotes balticus","Ciliophora"
"Euplotes","Euplotes crassus","Ciliophora"
"Euplotes","Euplotes crassus f. minor","Ciliophora"
"Euplotes","Euplotes vannus f. balticus","Ciliophora"
"Euplotes","Euplotes taylori","Ciliophora"
"Euplotes","Euplotes cristatus","Ciliophora"
"Euplotes","Euplotes elegans","Ciliophora"
"Euplotes","Euplotes bisulcatus","Ciliophora"
"Euplotes","Euplotes gracilis","Ciliophora"
"Euplotes","Euplotes harpa","Ciliophora"
"Ploesconia","Ploesconia cithara","Ciliophora"
"Euplotes","Euplotes moebiusi","Ciliophora"
"Euplotes","Euplotes patella","Ciliophora"
"Coccudina","Coccudina keromina","Ciliophora"
"Euplotes","Euplotes carinatus","Ciliophora"
"Euplotes","Euplotes leticiensis","Ciliophora"
"Euplotes","Euplotes paradoxa","Ciliophora"
"Euplotes","Euplotes patella f. lemani","Ciliophora"
"Euplotes","Euplotes viridis","Ciliophora"
"Trichoda","Trichoda patella","Ciliophora"
"Euplotes","Euplotes trisulcatus","Ciliophora"
"Euplotes","Euplotes vannus","Ciliophora"
"Euplotes","Euplotes caudatus","Ciliophora"
"Euplotes","Euplotes crassus sensu","Ciliophora"
"Euplotes","Euplotes longipes","Ciliophora"
"Euplotes","Euplotes marioni","Ciliophora"
"Euplotes","Euplotes minuta sensu","Ciliophora"
"Euplotes","Euplotes mutabilis","Ciliophora"
"Euplotes","Euplotes roscoffensis","Ciliophora"
"Euplotes","Euplotes sharuri","Ciliophora"
"Euplotes","Euplotes worcesteri","Ciliophora"
"Fabrea","Fabrea salina","Ciliophora"
"Favella","Favella ehrenbergi","Ciliophora"
"Favella","Favella serrata","Ciliophora"
"Folliculina","Folliculina ampula","Ciliophora"
